Ticket,Fare,Cabin,Embarked
693,26,,S
695,5,B51 B53 B55,S
1601,56.4958,,S
2223,8.3,,S
2620,7.225,,C
2625,8.5167,,C
2626,7.2292,,C
2627,14.4583,,C
2628,7.225,,C
2629,7.2292,,C
2631,7.225,,C
2647,7.225,,C
2648,4.0125,,C
2649,7.225,,C
2651,11.2417,,C
2659,14.4542,,C
2663,7.2292,,C
2664,7.225,,C
2666,19.2583,,C
2667,7.225,,C
2668,22.3583,F E69,C
2674,7.225,,C
2677,7.2292,,C
2678,15.2458,,C
2680,14.4542,,C
2683,6.4375,,C
2685,7.2292,,C
2686,7.2292,,C
2687,7.2292,,C
2689,14.4583,,C
2690,7.2292,,C
2691,14.4542,,C
2693,7.2292,,C
2694,7.225,,C
2695,7.2292,,C
2697,7.2292,,C
2700,7.2292,,C
2908,26,,S
2926,26,,S
3411,8.7125,,C
3460,7.0458,,S
3474,7.8875,,S
4133,25.4667,,S
4135,9.5875,,S
4137,9.825,,S
4138,9.8417,,S
4579,8.4042,,S
5727,25.5875,E58,S
6563,9.225,,S
7540,8.6542,,S
7545,9.4833,,S
7552,10.5167,,S
7553,9.8375,,S
7598,8.05,,S
8475,8.4333,,S
11668,21,,S
11751,52.5542,D35,S
11752,26.2833,D47,S
11753,52.5542,D19,S
11755,39.6,A16,C
11765,55.4417,E50,C
11767,83.1583,C50,C
11771,29.7,B37,C
11774,29.7,C47,C
11813,76.2917,D15,C
12233,13,,S
12749,93.5,B69 B73,S
13049,40.125,A10,C
13213,35.5,A26,C
13214,30.5,B50,C
13502,77.9583,D7 D9 D11,S
13507,55.9,E44,S
13567,79.2,B41,C
13568,49.5,B39,C
14311,7.75,,Q
14312,7.75,,Q
14313,7.75,,Q
14973,8.05,,S
16966,134.5,E34 E40,C
17453,89.1042,C92,C
17463,51.8625,E46,S
17465,25.9292,D17,S
17466,25.9292,D17,S
17474,57,B20,S
17764,30.6958,A7,C
19877,78.85,C46,S
19928,90,C78,Q
19943,90,C93,S
19950,263,C23 C25 C27,S
19996,52,C126,S
21440,8.05,,S
24160,211.3375,B3 B5,S
26360,26,,S
26707,26,,S
27267,13,E101,S
27849,13,,S
28134,11.5,,S
28206,10.5,,S
28213,13,,S
28220,32.5,,S
28403,26,,S
28424,13,,S
28551,13,D,S
28664,21,,S
28665,10.5,,S
29011,14,,S
29103,23,,S
29104,11.5,,S
29105,23,,S
29108,11.5,,S
29750,39,,S
29751,13,,S
31027,21,,S
31028,10.5,,S
31418,13,,S
33638,81.8583,A34,S
35273,113.275,D36 D48,C
35281,77.2875,D26,S
35851,7.7333,,Q
35852,7.7333,,Q
36866,7.7375,,Q
36928,164.8667,C7,S
36947,78.2667,D20,C
36967,34.0208,D46,S
36973,83.475,C83,S
65306,8.1125,,S
110152,86.5,B77 B79,S
110413,79.65,E67 E68,S
110465,52,A14 C110,S
110564,26.55,C52,S
110813,75.25,D37,C
111320,38.5,E63,S
111361,57.9792,B18,C
111369,30,C148,C
111426,26.55,,C
111427,26.55,,S
111428,26.55,,S
112050,0,A36,S
112052,0,,S
112053,30,B42,S
112058,0,B102,S
112277,31,A31,C
112379,39.6,,C
113028,26.55,C124,S
113050,26.55,B38,S
113051,27.75,C111,C
113056,26,A19,S
113059,47.1,,S
113503,211.5,C82,C
113505,55,E33,S
113509,61.9792,B30,C
113510,35,C128,S
113514,26.55,C87,S
113572,80,B28,
113760,120,B96 B98,S
113776,66.6,C2,S
113781,151.55,C22 C26,S
113784,35.5,T,S
113786,30.5,C104,S
113789,52,,S
113792,26.55,,S
113794,26.55,,S
113798,31,,S
113800,26.55,,S
113803,53.1,C123,S
113804,30.5,,S
113806,53.1,E8,S
113807,26.55,,S
211536,13,,S
218629,13.5,,S
219533,12.35,,Q
220367,13,,S
220845,65,,S
223596,13.5,,S
228414,26,,S
230080,26,F2,S
230136,39,F4,S
230433,26,,S
230434,13,,S
231919,23,,S
233639,13,,S
233866,13,,S
234360,13,,S
234604,13,,S
234686,13,,S
234818,12.35,,Q
236171,13,,S
236853,26,,S
237442,13.5,,S
237671,13,,S
237736,30.0708,,C
237789,30,,S
237798,13,,S
239853,0,,S
239856,0,,S
239865,26,,S
243847,27,,S
244252,26,,S
244270,13,,S
244310,13,,S
244358,26,,S
244367,26,,S
248698,13,D56,S
248723,13,,S
248727,33,,S
248731,13.5,,S
248733,13,F33,S
248738,29,,S
248740,13,,S
250643,13,,S
250644,19.5,,S
250648,13,,S
250649,14.5,,S
250651,26,,S
250652,13,,S
250655,26,,S
312991,7.775,,S
312993,7.775,,S
315082,7.875,,S
315084,8.6625,,S
315086,8.6625,,S
315088,8.6625,,S
315089,8.6625,,S
315090,8.6625,,S
315093,8.6625,,S
315094,8.6625,,S
315096,8.6625,,S
315097,8.6625,,S
315098,8.6625,,S
315151,8.6625,,S
315153,22.025,,S
323592,7.25,,S
323951,8.05,,S
324669,8.05,,S
330877,8.4583,,Q
330919,7.8292,,Q
330923,8.0292,,Q
330931,7.8792,,Q
330932,7.7875,,Q
330958,7.8792,,Q
330959,7.8792,,Q
330979,7.8292,,Q
334912,7.7333,,Q
335097,7.75,,Q
336439,7.75,,Q
341826,8.05,,S
343120,7.65,,S
343276,8.05,,S
345572,17.4,,S
345764,18,,S
345767,9,,S
345769,9.5,,S
345773,24.15,,S
345774,9.5,,S
345777,9.5,,S
345780,9.5,,S
345783,9.5,,S
347060,7.775,,S
347061,6.975,,S
347062,7.775,,S
347063,7.775,,S
347064,7.75,,S
347067,7.775,,S
347068,7.775,,S
347069,7.775,,S
347073,7.75,,S
347074,7.775,,S
347076,7.775,,S
347077,31.3875,,S
347078,7.75,,S
347082,31.275,,S
347083,7.775,,S
347085,7.775,,S
347088,27.9,,S
347089,6.975,,S
347464,7.8542,,S
347470,7.8542,,S
347742,11.1333,,S
347743,7.0542,,S
348123,7.65,F G73,S
349203,7.8958,,S
349205,7.8958,,S
349206,7.8958,,S
349208,7.8958,,S
349209,7.4958,,S
349210,7.4958,,S
349213,7.8958,,C
349215,7.8958,,S
349217,7.8958,,S
349218,7.8958,,S
349221,7.8958,,S
349222,7.8958,,S
349223,7.8958,,S
349231,7.8958,,S
349233,7.8958,,S
349234,7.8958,,S
349236,8.85,,S
349237,17.8,,S
349240,7.8958,,C
349241,7.8958,,C
349243,7.8958,,S
349244,8.6833,,S
349245,7.8958,,S
349249,7.8958,,S
349251,7.8958,,S
349253,7.8958,,C
349254,7.8958,,C
349256,13.4167,,C
349257,7.8958,,S
350025,7.8542,,S
350026,14.1083,,S
350029,7.8542,,S
350034,7.7958,,S
350035,7.7958,,S
350036,7.7958,,S
350042,7.7958,,S
350043,7.7958,,S
350047,7.8542,,S
350048,7.0542,,S
350060,7.5208,,S
350407,7.8542,,S
350417,7.8542,,S
358585,14.5,,S
362316,7.25,,S
363291,20.525,,S
364498,14.5,,S
364500,7.25,,S
